,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
0,VZZmYnYuJ,canniglets,,,False,,44.0,eng,canigglet,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:13:17,2019-10-30 22:27:27
1,p9fWmsroo,canigglet,,,False,,44.0,eng,,canigger,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:12:27,2019-10-30 22:27:22
2,nQDqrqYkr,caniggers,,,False,,,eng,canigger,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:11:33,2019-10-30 22:27:18
3,BDRxjhmjx,canigger,"Combination of ""Canadian"" and ""Nigger""",,False,,100.0,eng,,,,True,True,False,False,False,False,False,1,1,0,2019-04-12 15:10:48,2019-10-30 22:27:12
4,hVan9PHKD,african'ts,,,False,,75.0,eng,african't,,,False,True,False,False,False,False,True,0,0,0,2019-04-11 20:32:31,2019-10-30 22:19:30
5,epVrZaAzA,jiggers,"Variant of jiggaboo or jigabo, referring to a person of African descent.",A type of movement,False,,100.0,eng,jigger,,,False,True,False,False,False,False,False,52,0,0,2018-11-01 20:35:47,2019-10-24 15:37:22
6,j7U6mXQ4Q,jigger,"Variant of jiggaboo or jigabo, referring to a person of African descent.",A type of movement,False,,99.0,eng,,,,False,True,False,False,False,False,False,25,0,0,2013-05-03 03:55:19,2019-10-24 15:36:56
7,oYBntDFU8,jiggas,"Abbreviation of jiggaboo or jigabo, a slur for people of African descent",Ecstasy pill,False,,,eng,jigga,,,False,True,False,False,False,False,False,95,0,0,2018-11-01 20:35:46,2019-10-24 15:33:24
8,MFub7bAmp,jigga,"Abbreviation of jiggaboo or jigabo, a slur for people of African descent",Ecstasy pill,False,,97.0,eng,,,,False,True,False,False,False,False,False,130,0,0,2013-07-21 04:48:56,2019-10-24 15:33:01
9,1K4WevTca,gorillla,This is a test word used for tracking data provenance. Please disregard.,,False,,,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-09-30 13:01:13,2019-09-30 13:03:49
10,fWBTxFNUo,meatball patriots,"An African or Arab who presumes to integrate into Swedish culture by eating Swedish meatballs, or a Swede who believes this represents integration. Used by Swedish nationalists and neo-Nazis to disparage immigration.",,False,SE,72.0,eng,meatball patriot,,,False,True,False,False,False,False,False,0,0,0,2019-08-17 18:05:45,2019-08-17 18:06:08
11,tUAzEbPuz,meatball patriot,"An African or Arab who presumes to integrate into Swedish culture by eating Swedish meatballs, or a Swede who believes this represents integration. Used by Swedish nationalists and neo-Nazis to disparage immigration.",,False,SE,,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-08-17 18:03:10,2019-08-17 18:03:51
12,jkedcbraz,floppies,,,False,,,eng,floppy,,,False,True,False,False,False,False,False,0,0,0,2019-05-14 16:51:32,2019-05-14 16:51:32
13,gcJbMVkVW,floppy,"An African.  Etymology is variously attributed to Zimbabwe or South Africa, and may have originated from floppy hats worn by laborers or the action of flopping down dead when shot.",,False,,,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-05-14 01:09:31,2019-05-14 01:09:31
14,8YMJKezJT,shit heel,A black servant.,"Generic insult comparable to ""shit head""",False,,72.0,eng,,,,False,True,False,False,False,False,False,751,41,7,2013-07-21 23:48:55,2019-01-09 18:07:19
15,ffVyceY8z,negro,[English][Italian] A black person.,,False,,94.0,eng,,,,False,True,False,False,False,False,False,35,4,0,2016-12-06 14:46:54,2019-01-09 17:47:42
16,yXQWue2zY,golliwog,"A person with dark skin, most commonly an Afro-Caribbean",Originally a children's literary character and type of black doll,False,,99.0,eng,,,,False,True,False,False,False,False,False,161,47,22,2013-05-10 17:54:40,2019-01-09 15:09:41
17,UVWMgLXLw,toad,A black person,An amphibian,False,,73.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2018-11-24 22:36:02,2018-11-24 22:36:02
18,mg8xjZd4y,skinnie,Alternative spelling for 'skinny',,False,,88.0,eng,,skinny,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:36:51,2018-11-01 20:36:51
19,dKqHcPUkR,sheboons,Combination of 'she' and 'baboon' to indicate a black woman,,True,,,eng,sheboon,,,False,True,False,False,False,False,False,203,48,17,2018-11-01 20:36:48,2018-11-01 20:36:48
