,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
0,kurvPtF7E,chimp-outs,,,False,,,eng,chimp pack,,,False,True,False,False,False,False,False,1,1,0,2019-02-28 19:37:37,2019-10-30 22:43:01
1,NhwQUP9Hg,ghetto monkeys,,,False,,,eng,ghetto monkey,,,False,True,False,False,False,False,False,12,9,3,2019-04-12 17:00:51,2019-10-30 22:32:55
2,riyCcVeuu,ghetto monkey,,,False,,,eng,,porch monkey,,False,True,False,False,False,False,False,18,13,7,2019-04-12 16:59:54,2019-10-30 22:32:50
3,VZZmYnYuJ,canniglets,,,False,,44.0,eng,canigglet,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:13:17,2019-10-30 22:27:27
4,p9fWmsroo,canigglet,,,False,,44.0,eng,,canigger,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:12:27,2019-10-30 22:27:22
5,nQDqrqYkr,caniggers,,,False,,,eng,canigger,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:11:33,2019-10-30 22:27:18
6,BDRxjhmjx,canigger,"Combination of ""Canadian"" and ""Nigger""",,False,,100.0,eng,,,,True,True,False,False,False,False,False,1,1,0,2019-04-12 15:10:48,2019-10-30 22:27:12
7,hVan9PHKD,african'ts,,,False,,75.0,eng,african't,,,False,True,False,False,False,False,True,0,0,0,2019-04-11 20:32:31,2019-10-30 22:19:30
8,ojNnsgrQr,mammy,Derogatory term referring to a stereotypical African-American woman,"Mother, particularly if used by a child",False,,90.0,eng,,,,False,True,False,True,False,False,False,39,0,0,2018-11-01 19:42:20,2019-10-24 20:09:57
9,ncFQWyxAf,mooks,[1] An Italian-American [2] An African-American,An incompetent person,False,,50.0,eng,mook,,,True,True,False,False,False,False,False,20,0,0,2018-11-01 20:36:02,2019-10-24 15:49:45
10,Bmv3c6EVq,mook,[1] An Italian-American [2] An African-American,An incompetent person,False,,68.0,eng,,,,True,True,False,False,False,False,False,0,0,0,2013-07-28 10:01:12,2019-10-24 15:47:55
11,epVrZaAzA,jiggers,"Variant of jiggaboo or jigabo, referring to a person of African descent.",A type of movement,False,,100.0,eng,jigger,,,False,True,False,False,False,False,False,52,0,0,2018-11-01 20:35:47,2019-10-24 15:37:22
